Date,Open,High,Low,Close,Adj Close,Volume
2019-03-01,9313.500000,9361.400391,9267.700195,9267.700195,9267.700195,167873400
2019-03-04,9309.299805,9322.000000,9248.000000,9259.799805,9259.799805,112921800
2019-03-05,9255.700195,9298.700195,9204.299805,9258.200195,9258.200195,140185000
2019-03-06,9243.099609,9344.599609,9235.400391,9296.700195,9296.700195,140841100
2019-03-07,9301.000000,9366.700195,9216.099609,9249.900391,9249.900391,253052000
2019-03-08,9173.200195,9205.500000,9110.500000,9129.299805,9129.299805,197951600
2019-03-11,9157.700195,9181.700195,9106.799805,9171.900391,9171.900391,129690000
2019-03-12,9206.900391,9213.799805,9137.200195,9161.700195,9161.700195,144895900
2019-03-13,9134.700195,9202.700195,9123.000000,9192.700195,9192.700195,162606600
2019-03-14,9193.700195,9283.900391,9192.099609,9209.799805,9209.799805,155127700
2019-03-15,9219.500000,9342.200195,9216.099609,9342.200195,9342.200195,372906700
2019-03-18,9350.799805,9418.799805,9343.900391,9409.099609,9409.099609,152580300
2019-03-19,9428.400391,9532.900391,9417.900391,9492.299805,9492.299805,150401500
2019-03-20,9467.700195,9509.200195,9405.599609,9405.599609,9405.599609,138666600
2019-03-21,9387.400391,9397.599609,9326.200195,9355.599609,9355.599609,179840500
2019-03-22,9394.599609,9395.200195,9188.299805,9199.400391,9199.400391,216682000
2019-03-25,9159.400391,9232.799805,9127.299805,9179.900391,9179.900391,169093200
2019-03-26,9189.700195,9211.700195,9151.500000,9183.099609,9183.099609,168850600
2019-03-27,9194.799805,9323.500000,9146.099609,9229.900391,9229.900391,239047700
2019-03-28,9214.099609,9245.599609,9170.400391,9174.700195,9174.700195,153242700
2019-03-29,9226.500000,9273.799805,9190.500000,9240.299805,9240.299805,181744200
2019-04-01,9304.799805,9355.200195,9269.700195,9341.700195,9341.700195,200871300
2019-04-02,9356.700195,9400.700195,9322.900391,9363.500000,9363.500000,152284200
2019-04-03,9457.099609,9491.200195,9436.500000,9487.799805,9487.799805,173813100
2019-04-04,9488.900391,9551.500000,9472.000000,9534.099609,9534.099609,164758800
2019-04-05,9542.400391,9553.599609,9476.500000,9510.299805,9510.299805,178692100
2019-04-08,9483.400391,9495.099609,9425.200195,9437.700195,9437.700195,121814500
2019-04-09,9428.299805,9511.200195,9388.299805,9407.799805,9407.799805,137599800
2019-04-10,9423.500000,9467.500000,9395.200195,9406.500000,9406.500000,152200600
2019-04-11,9423.099609,9468.700195,9372.299805,9445.400391,9445.400391,178531100
2019-04-12,9441.299805,9509.200195,9390.200195,9468.500000,9468.500000,212327200
2019-04-15,9488.099609,9528.400391,9468.099609,9497.099609,9497.099609,156927200
2019-04-16,9492.400391,9543.700195,9462.900391,9497.299805,9497.299805,140510300
2019-04-17,9486.000000,9580.599609,9460.500000,9549.799805,9549.799805,193154800
2019-04-18,9553.700195,9581.900391,9480.000000,9581.900391,9581.900391,165266400
2019-04-23,9586.000000,9588.200195,9492.200195,9527.200195,9527.200195,159546500
2019-04-24,9506.299805,9525.200195,9427.400391,9456.400391,9456.400391,157933200
2019-04-25,9450.799805,9503.799805,9421.299805,9501.200195,9501.200195,147415600
2019-04-26,9512.099609,9527.400391,9448.799805,9506.000000,9506.000000,153319300
2019-04-29,9435.299805,9517.200195,9414.400391,9517.200195,9517.200195,146296500
2019-04-30,9497.299805,9570.599609,9455.500000,9570.599609,9570.599609,186881700
2019-05-02,9545.500000,9559.700195,9412.200195,9418.200195,9418.200195,205611000
